k,qnn_acc_mean,qnn_acc_std,qnn_acc_ci_lower,qnn_acc_ci_upper,qnn_f1_mean,qnn_f1_std,qnn_f1_ci_lower,qnn_f1_ci_upper,fair_acc_mean,fair_acc_std,fair_acc_ci_lower,fair_acc_ci_upper,fair_f1_mean,fair_f1_std,fair_f1_ci_lower,fair_f1_ci_upper,cnn_acc_mean,cnn_acc_std,cnn_acc_ci_lower,cnn_acc_ci_upper,cnn_f1_mean,cnn_f1_std,cnn_f1_ci_lower,cnn_f1_ci_upper,qnn_time_mean,qnn_time_std,qnn_time_ci_lower,qnn_time_ci_upper,fair_time_mean,fair_time_std,fair_time_ci_lower,fair_time_ci_upper,cnn_time_mean,cnn_time_std,cnn_time_ci_lower,cnn_time_ci_upper,majority_baseline,random_baseline,qnn_vs_fair_pvalue,qnn_vs_fair_test,corrected_p,significant_05
2,0.7102288160139028,0.02916803678428802,0.6933118784797091,0.7361715959192868,0.5134674304094738,0.0839803759287999,0.45812170962460436,0.5826859686367463,0.687862560207683,0.00046804268447035296,0.6875130606421438,0.6882120597732222,0.40753466242232567,0.00016429634837269132,0.4074119769364321,0.4076573479082192,0.7835576438279749,0.0486145290172815,0.7486160546669669,0.8204968944099379,0.6781020991921352,0.11791884849557406,0.5909191936092917,0.7634074180183357,73.29597067832947,28.722015398419995,47.64310050010681,92.61735472679138,0.4837348461151123,0.03880070872715837,0.45300865173339844,0.5138819217681885,1.1811737537384033,0.18620102181442316,1.0494625568389893,1.3461017608642578,0.687862560207683,0.5,0.16467834029480502,paired_ttest,1.0,False
3,0.5447374700270295,0.008992744866337788,0.5368934702930213,0.5511236196786976,0.27739609520453057,0.023354549114898104,0.259143051584349,0.2963076892396908,0.5560402951465627,0.028280185244321396,0.5361757944874508,0.5802729284260457,0.2871551241515584,0.07728406838298507,0.23268854921085919,0.35308079708131557,0.675694349369769,0.0477658090513879,0.6382875605815832,0.7131011381579547,0.5918554440394166,0.09283377697385524,0.5209787336565541,0.6627321544222791,80.94812188148498,27.012346869243498,56.784878969192505,93.09907898902892,0.5521432399749756,0.15424993036355,0.4343748092651367,0.6674633502960206,1.1013875484466553,0.33091240126184257,0.8388011455535889,1.3639739513397218,0.5363372149878544,0.3333333333333333,0.4827317136798705,paired_ttest,0.4827317136798705,False
4,0.4606516853085144,0.012762368170161348,0.45151098901098907,0.4716406962975254,0.1878528729280698,0.0410073050263204,0.16372059416650755,0.2256020739290046,0.4776799384555047,0.031703995913465476,0.456456043956044,0.5061140043895707,0.21230601953039985,0.0652763843803509,0.16615573690946883,0.26600081574852974,0.7014132230158311,0.012302390008010674,0.6917582417582417,0.7110682042734205,0.6709646766282165,0.012450991374692936,0.660086584378232,0.6799524750635776,68.53679614067077,24.897097483979326,48.884311771392824,87.27498440742492,0.5851179599761963,0.11013048016739847,0.4841806411743164,0.6503532409667969,1.355659580230713,0.08775920255366301,1.2800350666046143,1.41043963432312,0.4561186239978278,0.25,0.3375844396327069,paired_ttest,0.6751688792654138,False
5,0.3775142813163986,0.05989939966947628,0.32549490101979606,0.4122571169219394,0.17712104455591487,0.031989429074045506,0.15249841336601413,0.20174367574581567,0.4049877074944724,0.01269221367797325,0.39832033593281346,0.41664278655060355,0.13039308640832864,0.02703746501212306,0.11394251394251394,0.15530268032454506,0.5980091032153281,0.016725285177856306,0.5846917666826347,0.609727054589082,0.5161551889732068,0.024130601684334844,0.49723294501048587,0.5345301331419938,80.1378210067749,21.055990495776133,61.320775508880615,94.31992416381836,0.6107332706451416,0.06554514467327308,0.5521023273468018,0.6545362949371338,1.2540684700012208,0.08415787932372402,1.1838106155395507,1.325136089324951,0.3983924797774259,0.2,0.3337607331516387,paired_ttest,1.0,False
8,0.30212526722757965,0.008633981016034159,0.2949863263445761,0.3092928481731672,0.06897582531412878,0.01640240756168725,0.05926616789311897,0.08382080538072179,0.3179856683297856,0.024594559411542562,0.3026711742550362,0.3372835004557885,0.08384087428588669,0.04320516071997434,0.05808664121099687,0.11790633360184137,0.5407062581238639,0.018445714464137314,0.5263033410773734,0.5551091751703543,0.4595016869917051,0.04166643418845794,0.42713210647158306,0.49187126751182725,73.88401222229004,22.374412142963394,56.38720726966858,91.3808171749115,0.558789587020874,0.1344663842054742,0.45061869621276857,0.6569485664367676,1.2889042854309083,0.12259944819088332,1.1925082206726074,1.385300350189209,0.3027623319578622,0.125,0.23784253680494977,paired_ttest,0.9513701472197991,False
12,0.2335371049940737,0.02471935661317026,0.21140003851401015,0.24469808541973487,0.04007179596843695,0.016363225731927937,0.03274355530416723,0.054710494919250986,0.2573261512841168,0.028425028327291595,0.24453120041660226,0.282731158647887,0.04820662467471094,0.03454783412482899,0.03274743119849774,0.07910512087562764,0.4514642375717731,0.015156429489922742,0.4383119472086835,0.46052414313108053,0.34558994302964113,0.05081700805072691,0.30315456952704695,0.3831572793011582,79.4565733909607,29.356013215661818,53.372746276855466,98.54673991203308,0.5859817504882813,0.1033049765962275,0.4948267459869385,0.6571377277374267,1.2454671382904052,0.12108050763772998,1.1617411613464355,1.3424879550933837,0.2445868287509798,0.08333333333333333,0.1792404666409911,paired_ttest,0.8962023332049556,False
16,0.18304225399948842,0.045744751180938494,0.14760508308895406,0.21639405508271747,0.03820545206531802,0.02184886917335845,0.022256352025751165,0.054640585641219264,0.21745085615002605,0.0023056264940849195,0.21635711958292606,0.219485174323884,0.024189949040751096,0.004361305510518017,0.022234128047147063,0.028088654201628937,0.38896004279423424,0.016057790250655842,0.37582274356467904,0.4004295768444134,0.26378529197242295,0.03273521732849275,0.23949488447078587,0.2905369215690225,103.00286984443665,2.3420223482789053,100.89903740882873,104.13036308288574,0.6007538795471191,0.1256241314057306,0.4881859302520752,0.6579436302185059,1.281175136566162,0.16947784592124082,1.151315402984619,1.4110348701477051,0.21640817123637338,0.0625,0.17702696508939228,paired_ttest,1.0,False
