pair,cnn_acc_mean,cnn_acc_std,cnn_acc_ci_lower,cnn_acc_ci_upper,cnn_f1_mean,cnn_f1_std,cnn_f1_ci_lower,cnn_f1_ci_upper,fair_acc_mean,fair_acc_std,fair_acc_ci_lower,fair_acc_ci_upper,fair_f1_mean,fair_f1_std,fair_f1_ci_lower,fair_f1_ci_upper,qnn_acc_mean,qnn_acc_std,qnn_acc_ci_lower,qnn_acc_ci_upper,qnn_f1_mean,qnn_f1_std,qnn_f1_ci_lower,qnn_f1_ci_upper,cnn_time_mean,cnn_time_std,cnn_time_ci_lower,cnn_time_ci_upper,fair_time_mean,fair_time_std,fair_time_ci_lower,fair_time_ci_upper,qnn_time_mean,qnn_time_std,qnn_time_ci_lower,qnn_time_ci_upper,majority_baseline,random_baseline,qnn_vs_fair_pvalue,qnn_vs_fair_test,qnn_vs_fair_corrected_p,significant_05
aphanizomenon_vs_leptodora,0.8903419972640219,0.035044104361866564,0.8627906976744185,0.9178932968536252,0.8888480133510187,0.036651393035114894,0.8601256971839696,0.9175703295180682,0.5511901504787962,0.05720103556775063,0.5081258549931601,0.5953488372093023,0.45065524939771623,0.11727652788438002,0.35922667796914487,0.5426122999807209,0.5722845417236662,0.08341702932551695,0.5304240766073871,0.6477701778385773,0.4368290346515522,0.15080488521025223,0.3585932699608697,0.57227554388911,1.5828346252441405,0.2416494911111685,1.3937807083129883,1.771888542175293,0.5482748031616211,0.11324742747014127,0.4453463077545166,0.6068819522857666,77.43309373855591,40.0539418789629,43.785129356384275,105.92966494560241,0.525718194254446,0.5,0.5116520243146763,paired_ttest,1.0,False
asplanchna_vs_uroglena,0.9679487179487178,0.01486156810175592,0.9564102564102563,0.9794871794871793,0.9662677247198262,0.015896600995734988,0.9540491834270505,0.978486266012602,0.6121794871794872,0.0032051282051282493,0.6096153846153847,0.6147435897435898,0.3872300819781298,0.011700571739169427,0.37873317861753775,0.3969195752661997,0.7371794871794871,0.11410886614690963,0.6602564102564102,0.8352564102564104,0.6326072443284025,0.18461322230537763,0.500909424615719,0.7827907808011042,1.7818099498748778,0.27800021909005673,1.5653552055358886,1.998264694213867,0.6094801425933838,0.011228911261867426,0.6008103847503662,0.6175445556640625,105.92569251060486,0.19256146736859803,105.76739983558655,106.06263222694398,0.610897435897436,0.5,0.06909067122857455,paired_ttest,1.0,False
asterionella_vs_diaphanosoma,0.9104415833387796,0.015910685676877583,0.8992048449992375,0.9239613968585931,0.910247249215735,0.01602560001331689,0.8989160204362701,0.9238392215066377,0.5526828311875042,0.05453010530184215,0.5132910703004161,0.5979042764089493,0.43864442079207244,0.10842090931679423,0.35668552445544266,0.5242036568728571,0.6380606932008801,0.06681117910236385,0.5914406465808335,0.6935385486787357,0.5801351439599296,0.10100983167517745,0.5055224419522929,0.659450563129865,1.3741869926452637,0.38188944913143275,1.1035842895507812,1.6836087226867675,0.5965583801269532,0.014323224793719159,0.5852961540222168,0.607892370223999,105.74744300842285,0.40229469355164865,105.38695831298828,105.96314678192138,0.5079286756856851,0.5,0.0057243632162494555,paired_ttest,0.1316603539737375,False
asterionella_vs_rotifers,0.8932838130609719,0.036112858108807405,0.8632838130609718,0.9188888888888889,0.888299060062619,0.03768954214765566,0.8567585538879751,0.9147602536203621,0.553576292169607,0.06514529547906081,0.4946177653977097,0.5855555555555556,0.36213051087163073,0.013557802591945878,0.34978000964517963,0.36930592681353114,0.5892154131847726,0.0046274948832639795,0.5864376354069949,0.5933333333333334,0.378002263004604,0.014823963986406482,0.3696568040065137,0.39163753839163495,1.835693120956421,0.3453921428512446,1.5236821174621582,2.0045715808868407,0.5527804374694825,0.14636013425496452,0.43465986251831057,0.6570053577423096,88.88006854057312,37.712103988998145,55.08010005950928,106.03951210975647,0.5864376354069948,0.5,0.28313861469816837,paired_ttest,1.0,False
asterionella_vs_uroglena,0.9910311286460466,0.0065066380851743835,0.9850411285219787,0.9955186660215134,0.990999018958345,0.006539888592376706,0.9849786917131544,0.995507401757267,0.5939889083261994,0.14571783866528779,0.4805151300852347,0.7074626865671642,0.5267869915403336,0.20374305931935688,0.36600248857527234,0.687571494505395,0.860014143745115,0.10141369324808683,0.7706764804406895,0.9293160134489646,0.8496646370848249,0.11806922398895332,0.7445873115055006,0.9290807001802739,1.902143383026123,0.1367192446218845,1.779761552810669,1.9692913055419923,0.590817642211914,0.015004734915250518,0.5803855419158935,0.6035077095031738,105.85937285423279,0.314963495535129,105.6194363117218,106.09930939674378,0.525399188595675,0.5,0.013264643929385225,paired_ttest,0.29182216644647496,False
bosmina_vs_brachionus,0.9446088794926004,0.021043641753358197,0.9257928118393235,0.9543340380549683,0.9383960499908776,0.02477372577595218,0.9162233169129721,0.9497858511220578,0.6219873150105709,0.05192416552391968,0.5754756871035941,0.657505285412262,0.404029369323487,0.06067199049590074,0.3646464646464647,0.4598225957049486,0.7593023255813953,0.17075464838416343,0.6052854122621565,0.8627906976744185,0.7252879183021964,0.17916616113721873,0.5640822618241973,0.8369582713739243,1.2567054748535156,0.2558999064477402,1.0777515411376952,1.4748903274536134,0.6512245655059814,0.07036479835369344,0.5935440540313721,0.7120223045349121,84.82563481330871,18.74391674503831,68.04474139213562,93.28464016914367,0.6312896405919662,0.5,0.07810822898538454,paired_ttest,1.0,False
bosmina_vs_polyarthra,0.875,0.06987712429686843,0.81875,0.93125,0.8728527182678854,0.07205467369597367,0.8152693870340929,0.9302833833645847,0.46875,0.038273277230987154,0.4375,0.49375,0.3187706855791962,0.018147653702904824,0.30382978723404247,0.3304964539007092,0.5125,0.02795084971874737,0.5,0.5375,0.37597840755735484,0.09535728487043635,0.3333333333333333,0.46126855600539807,1.013265609741211,0.14986023904043133,0.9141797542572021,1.140798568725586,0.3547688007354736,0.012125718895019608,0.34416823387145995,0.3633997917175293,14.081989049911499,0.1476632999995907,13.990441083908081,14.215987920761108,0.5,0.5,0.20563995895070905,paired_ttest,1.0,False
brachionus_vs_synchaeta,0.9068831168831168,0.0341506897004491,0.8785714285714287,0.9318831168831168,0.906491963260069,0.03414680954494456,0.8784686372150394,0.9313901609080102,0.5303896103896104,0.056312499245370976,0.48753246753246754,0.575,0.41409962940437783,0.09012226481552288,0.3445407604443749,0.4837368478438641,0.5303246753246753,0.0740802802624595,0.4892207792207793,0.5964285714285714,0.43815082572470876,0.1366641106964697,0.34583240199282633,0.5533284060113328,1.9602816104888916,0.04214343007841465,1.9228495121002198,1.984713649749756,0.4543749332427979,0.13731633449134872,0.34593653678894043,0.5628133296966553,55.199912786483765,46.082805994660404,21.517939424514772,88.98059391975403,0.5089610389610388,0.5,0.9977745533778011,paired_ttest,0.9977745533778011,False
ceratium_vs_cyclops,0.9601190476190476,0.011449633370042478,0.9517857142857142,0.9690476190476189,0.9600525742916007,0.011474407791052363,0.9516922857624927,0.968989686271677,0.5363095238095237,0.053131460524868585,0.5017857142857143,0.5815476190476191,0.4147201937468628,0.12007638641775856,0.33484946548592387,0.5181430675036813,0.49523809523809526,0.011449633370042456,0.4863095238095238,0.5041666666666667,0.3682395684359706,0.07167914228662862,0.3312086063475038,0.43229017764679123,1.9720123767852784,0.01657972703973522,1.9583164691925048,1.9833477973937987,0.4231416702270508,0.13332608501799645,0.32339091300964357,0.5241218090057373,56.274272203445435,45.298410689744806,22.525852155685424,90.02269225120544,0.5154761904761904,0.5,0.164463757201433,paired_ttest,1.0,False
conochilus_vs_daphnia,0.8629441624365481,0.01899318470443625,0.848730964467005,0.8781725888324873,0.816301522840515,0.034158356981147824,0.7906745138485946,0.8446014693114222,0.700507614213198,0.05572207715761457,0.649746192893401,0.732994923857868,0.42514468874123457,0.0032633884537010896,0.4226252336608873,0.4276641438215818,0.7329949238578679,0.004540239548222937,0.7309644670050761,0.7370558375634518,0.43348054808534053,0.015938126623825207,0.42228739002932547,0.44714667385819046,1.8949132442474366,0.19059782362062605,1.7229131221771241,1.9913128852844237,0.6121270656585693,0.015030321855108612,0.5999927043914794,0.6230876922607422,105.975412940979,0.38699424249857745,105.70691623687745,106.29883856773377,0.7319796954314721,0.5,0.2517259524941882,paired_ttest,1.0,False
