fold,n_train,n_test,cnn_time,cnn_acc,cnn_f1,fair_time,fair_acc,fair_f1,qnn_time,qnn_acc,qnn_f1,majority_baseline,random_baseline,class_a,class_b,repeat
0,200,86,1.8675611019134521,0.8953488372093024,0.8953346855983773,0.5953106880187988,0.6162790697674418,0.558974358974359,105.74833178520203,0.7209302325581395,0.7049742710120068,0.5232558139534884,0.5,aphanizomenon,leptodora,0
1,200,86,1.3274402618408203,0.8604651162790697,0.8585526315789473,0.6174993515014648,0.6046511627906976,0.5904761904761904,106.05771994590759,0.5348837209302325,0.3892045454545455,0.5232558139534884,0.5,aphanizomenon,leptodora,0
2,200,86,1.5157690048217773,0.8488372093023255,0.8440942685817878,0.3466522693634033,0.5232558139534884,0.3435114503816794,21.700393199920654,0.5232558139534884,0.3435114503816794,0.5232558139534884,0.5,aphanizomenon,leptodora,0
3,200,85,1.8042757511138916,0.9176470588235294,0.9176470588235294,0.5904476642608643,0.5294117647058824,0.3461538461538462,47.76674723625183,0.5411764705882353,0.37322745320476464,0.5294117647058824,0.5,aphanizomenon,leptodora,0
4,200,85,1.3991270065307617,0.9294117647058824,0.9286114221724524,0.5914640426635742,0.4823529411764706,0.4141604010025063,105.89227652549744,0.5411764705882353,0.37322745320476464,0.5294117647058824,0.5,aphanizomenon,leptodora,0
0,200,312,1.9596726894378662,0.967948717948718,0.9666310160427807,0.5931098461151123,0.6089743589743589,0.37848605577689237,105.9223644733429,0.7660256410256411,0.7059757561674607,0.6089743589743589,0.5,asplanchna,uroglena,0
1,200,312,1.8376703262329102,0.9807692307692307,0.9797499026437626,0.6141791343688965,0.6089743589743589,0.37848605577689237,105.64210081100464,0.6923076923076923,0.5748353395412219,0.6089743589743589,0.5,asplanchna,uroglena,0
2,200,312,2.1171538829803467,0.9839743589743589,0.9831502543663524,0.6033399105072021,0.6153846153846154,0.3961290322580645,105.87073159217834,0.6634615384615384,0.5089854464245568,0.6121794871794872,0.5,asplanchna,uroglena,0
3,200,312,1.4954400062561035,0.9583333333333334,0.9568946277698072,0.621382474899292,0.6153846153846154,0.4033275960986805,106.15330052375793,0.9230769230769231,0.9173692341646436,0.6121794871794872,0.5,asplanchna,uroglena,0
4,200,312,1.499112844467163,0.9487179487179487,0.9449128227764291,0.615389347076416,0.6121794871794872,0.3797216699801193,106.03996515274048,0.6410256410256411,0.45587044534412957,0.6121794871794872,0.5,asplanchna,uroglena,0
0,200,429,1.499032974243164,0.9184149184149184,0.9182710364310325,0.5816702842712402,0.6363636363636364,0.5937105390966488,105.99540710449219,0.745920745920746,0.7342234044367146,0.5081585081585082,0.5,asterionella,diaphanosoma,0
1,200,429,1.3049378395080566,0.8997668997668997,0.89950260681968,0.6089646816253662,0.5104895104895105,0.34217828144167295,105.95510196685791,0.5757575757575758,0.47623966942148765,0.5081585081585082,0.5,asterionella,diaphanosoma,0
2,200,429,1.9604723453521729,0.9347319347319347,0.934703196347032,0.5813114643096924,0.5757575757575758,0.49782608695652175,105.0336971282959,0.6386946386946387,0.5956300436022646,0.5081585081585082,0.5,asterionella,diaphanosoma,0
3,200,429,1.1346073150634766,0.9020979020979021,0.9019439244198703,0.6001584529876709,0.5361305361305362,0.41994333353716956,105.8785982131958,0.5897435897435898,0.5032631578947369,0.5081585081585082,0.5,asterionella,diaphanosoma,0
4,200,428,0.9718844890594482,0.897196261682243,0.8968154820610603,0.6106870174407959,0.5046728971962616,0.3395638629283489,105.87441062927246,0.6401869158878505,0.5913194444444444,0.5070093457943925,0.5,asterionella,diaphanosoma,0
0,200,360,1.2188003063201904,0.8361111111111111,0.828253996490689,0.722935676574707,0.5861111111111111,0.36952714535901926,106.15352487564087,0.5861111111111111,0.36952714535901926,0.5861111111111111,0.5,asterionella,rotifers,0
1,200,360,1.9747076034545898,0.8972222222222223,0.8945793859961536,0.5969679355621338,0.5833333333333334,0.368421052631579,105.80377507209778,0.5888888888888889,0.37684210526315787,0.5861111111111111,0.5,asterionella,rotifers,0
2,200,360,2.0229480266571045,0.9333333333333333,0.9302235430934229,0.3257923126220703,0.575,0.3650793650793651,21.42365026473999,0.5861111111111111,0.36952714535901926,0.5861111111111111,0.5,asterionella,rotifers,0
3,200,360,1.982703447341919,0.8888888888888888,0.8839869807611743,0.598954439163208,0.5861111111111111,0.36952714535901926,106.04336786270142,0.5972222222222222,0.40393948044533257,0.5861111111111111,0.5,asterionella,rotifers,0
4,200,359,1.9793062210083008,0.9108635097493036,0.9044513939716549,0.519251823425293,0.4373259052924791,0.33809784592917125,104.97602462768555,0.5877437325905293,0.3701754385964912,0.5877437325905293,0.5,asterionella,rotifers,0
0,200,402,1.9489178657531738,0.9925373134328358,0.9925128045941332,0.5869219303131104,0.5671641791044776,0.4949602888086643,106.14116883277893,0.9328358208955224,0.9328021396333648,0.5248756218905473,0.5,asterionella,uroglena,0
1,200,402,1.9753270149230957,0.9975124378109452,0.9975068685152224,0.5950984954833984,0.7562189054726368,0.7466820987654321,106.02685236930847,0.927860696517413,0.9276632974069732,0.5248756218905473,0.5,asterionella,uroglena,0
2,200,402,1.960766315460205,0.9925373134328358,0.9925128045941332,0.5763072967529297,0.7288557213930348,0.7247664930937232,105.53769397735596,0.8109452736318408,0.8000104733975701,0.5248756218905473,0.5,asterionella,uroglena,0
